Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0457430,2015-11-28,2015-11-28,,"Pans labyrint","El laberinto del fauno",https://www.imdb.com/title/tt0457430/,Movie,8.2,118,2006,"Drama, Fantasy, War",726014,2007-02-09,"Guillermo del Toro",,
2,tt2267998,2015-11-28,2015-11-28,,"Gone Girl","Gone Girl",https://www.imdb.com/title/tt2267998/,Movie,8.1,149,2014,"Drama, Mystery, Thriller",1123701,2014-10-03,"David Fincher",,
3,tt0338013,2015-11-28,2015-11-28,,"Eternal Sunshine of the Spotless Mind","Eternal Sunshine of the Spotless Mind",https://www.imdb.com/title/tt0338013/,Movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1138883,2004-08-20,"Michel Gondry",,
4,tt1182345,2015-11-28,2015-11-28,,"Moon","Moon",https://www.imdb.com/title/tt1182345/,Movie,7.8,97,2009,"Drama, Mystery, Sci-Fi",386686,2009-07-10,"Duncan Jones",,
5,tt0783233,2015-11-28,2015-11-28,,"Försoning","Atonement",https://www.imdb.com/title/tt0783233/,Movie,7.8,123,2007,"Drama, Mystery, Romance, War",315050,2008-01-11,"Joe Wright",,
6,tt4972582,2016-08-06,2016-08-06,,"Split","Split",https://www.imdb.com/title/tt4972582/,Movie,7.3,117,2016,"Horror, Thriller",592623,2017-01-20,"M. Night Shyamalan",,
7,tt0091790,2017-09-30,2017-09-30,,"Pretty in Pink","Pretty in Pink",https://www.imdb.com/title/tt0091790/,Movie,6.7,97,1986,"Comedy, Drama, Romance",92536,1986-06-21,"Howard Deutch",,
8,tt1856101,2017-12-04,2017-12-04,,"Blade Runner 2049","Blade Runner 2049",https://www.imdb.com/title/tt1856101/,Movie,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",715502,2017-10-05,"Denis Villeneuve",,
9,tt4209788,2018-01-24,2018-01-24,,"Molly's Game","Molly's Game",https://www.imdb.com/title/tt4209788/,Movie,7.4,140,2017,"Biography, Crime, Drama",197279,2018-01-19,"Aaron Sorkin",,
10,tt0120787,2018-03-20,2018-03-20,,"Ett perfekt mord","A Perfect Murder",https://www.imdb.com/title/tt0120787/,Movie,6.6,107,1998,"Crime, Drama, Thriller",95533,1998-10-02,"Andrew Davis",,
11,tt5174640,2018-08-05,2018-08-05,,"100 Years","100 Years",https://www.imdb.com/title/tt5174640/,Short,,,,"Short, Drama",0,2115-11-18,"Robert Rodriguez",,
12,tt5883570,2018-11-04,2018-11-04,,"Bodied","Bodied",https://www.imdb.com/title/tt5883570/,Movie,7.1,120,2017,"Comedy, Drama, Music",6321,2018-11-02,"Joseph Kahn",,
